First Author Last Name,Year of Publication,DOI,Main Focus of the Research,Key Findings,Photovoltaic Cell Technology,Efficiency (%),Short-Circuit Current (A),Short-Circuit Current Density (mA/cm²),Open-Circuit Voltage (V),Fill Factor (%),Absorber Material,Front Surface Morphology,Rear Surface Morphology,Front Surface Passivation,Rear Surface Passivation,Negative Polarity Contact Type,Positive Polarity Contact Type,Negative Polarity Metallization,Positive Polarity Metallization
Carolus,2019.0,10.1016/j.solmat.2019.109950,Physics of potentialN/Ainduced degradation in bifacial pN/APERC solar cells,Bifacial pN/APERC solar cells under bifacial PID stress suffere from both shunting of the pnN/Ajunction and increased surface recombination in rear side.,pN/APERC,20.1,9.497,,0.662,77.3,cN/ASi pN/APERC,Textured,,SiNx,SiNy,Homojunction (emitter),Homojunction,Ag,Al
Chen,2020.0,https://doi.org/10.1016/j.solmat.2019.110258,24.58% efficient industrial i-TOPCon,Achieved 24.58% total area efficiency.,i-TOPCon silicon solar cells,24.58,10.05,40.89,0.716,82.85,p-type Cz-Si,Textured,Textured,Al2O3/SiNx,SiOx/n+-poly-Si,Homojunction,Homojunction,Ag,Ag
Chen,2019.0,https://doi.org/10.1002/pip.3180,Mass production of industrial TOPCon cells,Average efficiency over 23% and open-circuit voltage greater than 700 mV,i-TOPCon silicon solar cells,23,10.29,39.84,0.702,82.2,n-type Cz-Si,Textured,Planar,SiNx:H,SiOx/n+-poly-Si/SiNx:H,Homojunction,Homojunction,Ag,Ag
Cheng,2022.0,https://doi.org/10.1016/j.solener.2022.10.019,21.16%-efficiency p-type TOPCon solar cell,21.16%-efficiency p-type TOPCon solar cell by employing a high-performance Al2O3/MoOx/Ag hole-selective passivating contact,TOPCon solar cells,21.16,1.05,37.3,0.674,84.18,p-type Cz-Si,Textured,Textured,SiO2/SiNx,ALD-Al2O3,Homojunction,Homojunction,Ag,Ag
Chu,2023.0,https://doi.org/10.1038/s41467-023-39342-3,Prediction of sub-pyramid texturing for high efficiency silicon heterojunction solar cells,Focus on interface structure and simulation related to sub-pyramid texturing,Silicon heterojunction (SHJ) solar cells,24.85,Not simulated,Not simulated,Not simulated,Not simulated,n-c-Si,Pyramidal textured,Not explicitly discussed,i-a-Si,i-a-Si,Heterojunction,Heterojunction,Ag,Ag
Chunlin Guo,2023.0,https://doi.org/10.1016/j.solener.2023.04.065,,,,24.05,,41.05,0.706,83.52,Monocrystalline,Planar - With Coating(s),Planar - With Coating(s),,,,,Ag,Ag/Al
Daming Chen,2020.0,https://doi.org/10.1016/j.solmat.2019.110258,,,,24.58,,40.57,0.7168,84.52,Monocrystalline,Textured - With Coating(s),Textured - With Coating(s),,,,,,
Dasgupta,2022.0,https://doi.org/10.1109/JPHOTOV.2022.3196822,Laser oxidation for selective area polysilicon contacts in TOPCon,Explored laser oxidation for screen-printed selective contacts.,Bifacial TOPCon solar cells,24.84,,41.99,0.72,81.97,n-type Cz-Si,Textured,Textured,SiO2/SiNx,SiOx/n+-poly-Si,Homojunction,Homojunction,Ag,Ag/Al
Ding,2024.0,https://doi.org/10.1016/j.solener.2024.112862,22.56% total area efficiency of n-TOPCon solar cell,Achievement of a 22.56% total area efficiency for an n-TOPCon solar cell by utilizing screen-printed aluminum (Al) paste,TOPCon solar cells,22.56,13.49,40.73,0.664,83.48,n-type Cz-Si,Textured,Planar,Al2O3/SiNx,SiOx/n+poly-Si/SiNx:H,Homojunction,Homojunction,Ag,Ag/Al
Du,2023.0,https://doi.org/10.1016/j.solmat.2023.112393,Improving electroplating technology for TOPCon cells by looking into polysilicon films. They work on carbon doped p-Si to enhance surface wettability. ,Use of carbon coped improves surface wettability which is significant to electroplating. There is also evidence of good conductivity. Shows great potneital for achieving high-efficiency and low-cost cells.,TOPCon,"Controlled = 23.25 ± 0.36
Double-Layered = 23.9 ± 0.28",,"Controlled = 41.58 ± 0.22
Double-Layered = 41.83 ± 0.2","Controlled = 0.6947 ± 0.0041
Double-Layered = 0.7038 ± 0.0035","Controlled = 80.50 ± 0.35
Double-Layered = 81.18 ± 0.16",n-Si,Textured,Planar,Si,Si,Heterojunction,Heterojunction,N/A (but they are listed as metal fingers),Ni/Cu/Sn
