Title,Last Name,Year,Digital Object Identifier (DOI),Research Focus,Key Findings,Device Type,Absorber Material,Absorber Material Term Used,Absorber Dopant Material,Absorber Dopant Material Term Used,Absorber Dopant Polarity,Absorber Dopant Polarity Term Used,Front Surface Morphology,Front Surface Morphology Term Used,Rear Surface Morphology,Rear Surface Morphology Term Used,Front Surface Passivation Material,Front Surface Passivation Material Term Used,Rear Surface Passivation Material,Rear Surface Passivation Material Term Used,Negative Metallization Material,Negative Metallization Material Term Used,Positive Metallization Material,Positive Metallization Material Term Used,Efficiency (%),Cell Area (cm2),Short-Circuit Current (A),Short-Circuit Current Density (mA/cm2),Open-Circuit Voltage (V),Fill Factor (%)
Topcon Photovoltaic Cell,Alansary,2024,N/A,Effect of Water Vapor and Humidity on Photovoltaic Cell Performance,Poor weathering and high humidity have a negative impact on photovoltaic cells and panels' performance. Haze has a major impact on photovoltaic (PV) power generation. Moisture intrusion is at the center of most degradation mechanisms that lead to PV module power degradation.,Photovoltaic Cell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,Feldmann,2017,N/A,Passivating contacts on silicon solar cells,A 10x10 cm² cell yielded an efficiency of 22.9%.,n-type silicon solar cell,Silicon,Si,Boron,Boron,N/A,N/A,random pyramids,alkaline texturing,N/A,N/A,Al2O3 and SiNx,Al2O3 and SiNx,N/A,N/A,NiCuAg,NiCuAg,N/A,N/A,22.9,100,N/A,N/A,N/A,N/A
N/A,Kafle,2021,10.1016/j.solmat.2021.111100,TOPCon solar cells,"TOPCon-concepts are found to remain economically competitive against bifacial PERC in terms of levelized cost of electricity (LCOE), if a minimum absolute gain in cell efficiency Δ η > 0.55% for most-conservative and Δ η > 0.40% for most-progressive scenarios respectively can be maintained.",Solar Cell,Silicon,poly-Si,N-type,N-type,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26%,N/A,N/A,N/A,725 mV,N/A
Fa-Jun Ma,Ma,2024,N/A,"Silicon solar cells, Space applications, 1 MeV electron irradiation, Numerical simulation, PERC, TOPCon","When utilizing substrates with high doping levels, both PERC and TOPCon cells exhibit nearly identical beginning-of-life (BOL) and end-of-life (EOL) performance. However, with lower substrate doping concentrations, both technologies show improved BOL efficiency. Notably, this enhanced BOL efficiency does not translate into superior EOL efficiency. This distinction in EOL efficiency can be attributed to two primary factors triggered by radiation exposure. Firstly, the emergence of defects leads to a reduction in open-circuit voltage. Secondly, dopant compensation contributes to an increase in series resistance.","PERC, TOPCon",Silicon,Silicon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,Richtera,2017,10.1016/j.solmat.2017.05.042,Silicon solar cells with passivating contacts,"Recombination induced loss mechanisms, Shockley-Read-Hall recombination in the c-Si bulk as a source of FF reduction in case of high resistivity Si, cells made of high resistivity 1Ω cm n-type Si are very sensitive to even a weak lifetime limitation in the c-Si bulk, achieved conﬁrmed eﬃciency values of 25.7%",Silicon solar cells,Silicon,c-Si,Boron,Boron,N/A,N/A,Boron-doped emitter,Boron-doped emitter,N/A,N/A,Al2O3,Al2O3,N/A,N/A,N/A,N/A,N/A,N/A,25.7%,N/A,42.5,mA/cm2,725 mV,83.3%
Reassessment of the Limiting Efﬁciency for Crystalline Silicon Solar Cells,Richter,2013,10.1109/JPHOTOV.2013.2270351,Photovoltaic cell efficiency limits,Maximum theoretical efficiency of 29.43% for a 110-μm-thick solar cell made of undoped silicon.,Crystalline Silicon Solar Cells,Silicon,Silicon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.43,N/A,N/A,N/A,N/A,N/A
Optimization strategies for metallization in n-type crystalline silicon TOPCon solar cells: Pathways to elevated fill factor and enhanced efficiency,Ur Rahman,2024,10.1016/j.cap.2024.07.012,TOPCon solar cells,"A squeegee speed of 170 mm/s substantially boosts solar cell performance, evidenced by a current density (Jsc) of 38.96 mA/cm2, open-circuit voltage (Voc) of 684.29 mV, fill factor (FF) of 78.77 %, and a power conversion efficiency (PCE) of 21.00 %. Further, dark I – V measurements confirmed a shunt resistance (Rsh) of 6.25 × 106 Ω and a reduced series resistance (Rs) of 6.48 Ω , underscoring the significance of precise metallization in reducing resistive losses and enhancing efficiency.",TOPCon solar cells,n-type crystalline silicon,n-TOPCon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.00,N/A,38.96,mA/cm2,684.29 mV,78.77
Recent advancements in carrier-selective contacts for high-efficiency crystalline silicon solar cells: Industrially evolving approach,Chee,2022,10.1016/j.nanoen.2021.106899,Carrier-selective contacts for high-efficiency crystalline silicon solar cells,"Passivation stack architectures with SiO
x
/heavily doped polycrystalline silicon (n
+
-/p
+
-poly-Si) realize the most attractive polysilicon-on-oxide (POLO) junctions and related schemes, e.g. , combined with tunnel oxide passivated contact (TOPCon) and interdigitated back contact (IBC) solar cells.",crystalline silicon solar cells,silicon,silicon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"SiO
x",silicon oxide,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,Du,2023,10.1016/j.solmat.2023.112555,TOPCon solar cells,"Different crystallization rates or doping of germanium, carbon and other elements in poly-Si can change the band gap of poly-Si, which has an impact on the efficiency ( E
ff
) of TOPCon solar cells.",Solar cells,Silicon,Poly-Si,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.81%,N/A,N/A,N/A,703 mV,N/A
N/A,Ullah,2023,10.3390/en16020715,Crystalline Silicon (c-Si)-Based Tunnel Oxide Passivated Contact (TOPCon) Solar Cells,"A state-of-the-art n-type c-Si-based TOPCon solar cell featuring a passivated rear contact was experimentally analyzed, and the highest PCE record of ~25.7% was achieved. It has a high ﬁll factor (FF) of ~83.3%.",Solar Cell,Crystalline Silicon (c-Si),Silicon,N-type,N-type,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.7,N/A,N/A,N/A,N/A,83.3
N/A,Feldmannn,2014,N/A,Passivated contact,TOPCon structure enables high conversion efﬁciency and highFF. Boron-doped passivated rear contact (p-TOPCon) shows reduced SRH recombination and improved FF potential compared to standard p-PRC cells.,Si solar cells,Si,silicon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tunnel oxide,oxide,N/A,N/A,N/A,N/A,N/A,N/A,24.4%,N/A,N/A,N/A,694 mV,84%
N/A,Mukhopadhyay,2022,N/A,Tunnel Oxide Passivated Contact solar cells,"TOPCon solar cells are gaining more interests due to possessing various advantages such as availability of raw material, easy process sequence, high efficiency potential.",Solar cell,Silicon,Silicon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.1%,151.9,40.8,41.8,738,83.5
N/A,Yang,2016,10.1002/adma.201600926,High-Performance TiO 2 -Based Electron-Selective Contacts for Crystalline Silicon Solar Cells,"Ultra-high PCE of 25.1% and 25.6%, respectively, has been achieved in silicon heterojunction (SHJ) and silicon heterojunction inter-digitated back-contact (SHJ-IBC) cells based on the intrinsic a-Si:H/doped a-Si:H CSC. A double-heterojunction silicon solar cell with an efficiency of 12.9% has been fabricated via the implementation of a hole-blocking TiO 2 layer.",Silicon Solar Cells,Silicon,crystalline silicon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SiO 2,SiO 2,N/A,N/A,N/A,N/A,Aluminum,Al-BSF,25.1% and 25.6%,N/A,N/A,N/A,N/A,N/A
N/A,Du,2023,N/A,TOPCon solar cells,A 24.18% efficiency TOPCon solar cells enabled by super hydrophilic carbon-doped polysilicon films combined with plated metal fingers,TOPCon solar cells,Polysilicon,Carbon-doped polysilicon,Carbon,C-doped polysilicon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Copper,Copper electroplating,Silver,Silver,24.18%,N/A,N/A,N/A,745 mV,N/A
N/A,Bullock,2014,10.1063/1.4903467,photovoltaic cells,Molybdenum oxide MoOx: A versatile hole contact for silicon solar cells,solar cells,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
