Title,Last Name,Year,Digital Object Identifier (DOI),Research Focus,Key Findings,Device Type,Absorber Material,Absorber Material Term Used,Absorber Dopant Material,Absorber Dopant Material Term Used,Absorber Dopant Polarity,Absorber Dopant Polarity Term Used,Front Surface Morphology,Front Surface Morphology Term Used,Rear Surface Morphology,Rear Surface Morphology Term Used,Front Surface Passivation Material,Front Surface Passivation Material Term Used,Rear Surface Passivation Material,Rear Surface Passivation Material Term Used,Negative Metallization Material,Negative Metallization Material Term Used,Positive Metallization Material,Positive Metallization Material Term Used,Efficiency (%),Cell Area (cm2),Short-Circuit Current (A),Short-Circuit Current Density (mA/cm2),Open-Circuit Voltage (V),Fill Factor (%)
N/A,Ma,2024,N/A,"Silicon solar cells, Space applications","TOPCon technology demonstrates a significant advantage over PERC, particularly for high electron fluence due to its full area contacts for both minority and majority charge carriers.",Solar cells,Silicon,Silicon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Effect of Water Vapor and Humidity on the Topcon Photovoltaic Cell,Alansary,2024,N/A,Photovoltaic Cell,Poor weathering and high humidity have a negative impact on photovoltaic cells' and panels' performance. Haze has a major impact on photovoltaic (PV) power generation.,Photovoltaic Cell,N/A,Topcon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,Feldmann,2017,N/A,Silicon Solar Cell,The 10x10 cm² cell yielded an efficiency of 22.9%.,n-type,Silicon,Si,Boron,Boron,N/A,N/A,random pyramids,random pyramids,N/A,N/A,SiOx,SiOx,N/A,N/A,NiCuAg,NiCuAg,N/A,N/A,22.9,100,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,Richter,2013,N/A,Photovoltaics,Maximum theoretical efficiency of 29.43% for a 110-μm-thick solar cell made of undoped silicon.,Crystalline Silicon Solar Cells,Silicon,Silicon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.43,N/A,N/A,N/A,N/A,N/A
N/A,Richter,N/A,N/A,Silicon solar cells,Shockley-Read-Hall recombination in the c-Si bulk as the source of a significant FF reduction in case of high resistivity Si.,Silicon solar cells,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,boron-doped emitter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.7%,N/A,42.5,N/A,725,83.3
N/A,Du,2023,N/A,TOPCon solar cells,"Different crystallization rates or doping of germanium, carbon and other elements in poly-Si can change the band gap of poly-Si, which has an impact on the efficiency ( E
ff
) of TOPCon solar cells.",solar cells,poly-Si,poly-Si,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.7%,N/A,N/A,N/A,703 mV,N/A
N/A,N/A,2023,10.3390/en16020715,TOPCon Solar Cells,"A state-of-the-art n-type c-Si-based TOPCon solar cell featuring a passivated rear contact was experimentally analyzed, and the highest PCE record of ~25.7% was achieved. It has a high ﬁll factor (FF) of ~83.3%.",Solar Cell,Crystalline Silicon (c-Si),Silicon,N-type,N-type,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.7,N/A,N/A,N/A,N/A,83.3
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,Bivour,2014,N/A,"PERC, PERL, High-efﬁciency",AV oc of 694 mV and aFF of 81%,n-type Si solar cells,silicon,Cz silicon,boron,boron–oxygen complexes,N/A,N/A,N/A,N/A,N/A,N/A,tunnel oxide,tunnel oxide passivated contact,N/A,N/A,N/A,N/A,N/A,N/A,24.4%,N/A,N/A,N/A,694,81
N/A,Nandi,2022,N/A,TOPCon solar cells,"TOPCon solar cells are gaining more interests due to possessing various advantages such as availability of raw material, easy process sequence, high efficiency potential etc.",solar cell,crystalline silicon,silicon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,Yang,2016,10.1002/adma.201600926,solar cells,"excellent surface passivation at both contact and noncontact regions resulting in a high open-circuit voltage V oc, and simpliﬁ ed current ﬂ ow pattern resulting in a high ﬁ ll factor FF",TiO2,TiO2,TiO2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.1%,N/A,N/A,N/A,N/A,N/A
N/A,Du,2023,N/A,TOPCon solar cells,C-doped polysilicon films combined with plated metal fingers deliver a remarkable power conversion efficiency (PCE) of 24.18%.,solar cells,polysilicon,carbon-doped polysilicon,carbon,carbon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ni,Ni,N/A,N/A,24.18,N/A,N/A,N/A,745,N/A
N/A,Bullock,2014,10.1063/1.4903467,Photovoltaic cells,Investigation of the thermal stability of MoOx as hole-selective contacts for Si solar cells,Silicon solar cells,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A}
N/A,Yousuf,2021,https://doi.org/10.21218/CPR.2021.9.3.075,TOPCon Solar Cell,"The quality of passivation of the tunnel oxide layer clearly depends on the bond of SiO in the tunnel oxide layer, which is affected by the subsequent annealing.",Solar Cell,Si,Si,Boron,Boron,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SiNx:H,SiNx:H,N/A,N/A,Ag,Ag,24.58,N/A,N/A,N/A,700,N/A
N/A,N/A,2024,N/A,TOPCon solar cell technology,"HfO2 layers can significantly enhance cell performance, increasing charge carrier lifetime by 21.3% and potentially boosting efficiency by 25%.",Solar cell,Hafnium oxide,HfO2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25%,N/A,N/A,N/A,N/A,N/A
N/A,N/A,2012-2023,N/A,Silicon solar cells,"The passivated emitter and rear cell (PERC) technology and the use of gallium as the dominant p-type dopant have vastly exceeded the expected trends. However, adopting silicon heterojunction cells and shifting to n-type wafers has not occurred as quickly as expected.",Silicon solar cell,Silicon,Silicon,Gallium,Gallium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,Wu,2024,N/A,TOPCon solar cells,Laser-assisted firing processes such as JSIM also significantly improve the reliability of TOPCon solar cells. This improvement is due to the compatibility of these processes with screen printing pastes that have low or zero Al,TOPCon solar cells,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ag/Al,Ag/Al,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,Tao,2016,N/A,n-type Si solar cells,The best example of the potential of passivated contact is the heterojunction Si cell with intrinsic thin amorphous layer (HIT) solar cell.,crystalline Si solar cells,silicon,Si,boron,boron,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nitric acid,nitric acid,Ti/Pd/Ag,Ti/Pd/Ag,N/A,N/A,21.2,239,N/A,N/A,714,N/A
N/A,Fazal,2023,N/A,PV cell technology,Si-based PV is the most dominant technology with substantial advantages and is expected to maintain the best price competitiveness among all other potential PV technologies for the next decades.,Si-based PV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.1%,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
